"","dsets","SVM","DT","KN","RF","ML","GB"
"1","D1","0.76666667","0.56666667","0.7","0.6","0.56666667","0.83333333"
"2","D2","0.83333333","0.7","0.86666667","0.63333333","0.83333333","0.86666667"
"3","D3","0.93333333","0.8","0.9","0.83333333","0.9","0.9"
"4","D4","0.9","1","0.9","0.96666667","0.86666667","0.9"
"5","D5","0.83333333","1","0.73333333","0.83333333","0.8","0.83333333"
"6","D6","0.83333333","1","0.86666667","0.9","0.86666667","0.9"
"7","D7","1","1","0.96666667","1","1","1"
"8","D8","0.86206897","0.79310345","0.93103448","0.62758621","0.86206897","0.92758621"
"9","D9","0.82758621","0.68965517","0.79310345","0.52413793","0.82758621","0.89310345"
"10","D10","0.99310345","0.65517241","0.82758621","0.65862069","0.82758621","0.96206897"
