"Acceleration","Cylinders","Weight","Horsepower"
11.5,8,3693,165
11,8,3436,150
12,8,3433,150
10.5,8,3449,140
10,8,4341,198
9,8,4354,220
8.5,8,4312,215
10,8,4425,225
8.5,8,3850,190
17.5,4,3090,115
11.5,8,4142,165
11,8,4034,153
10.5,8,4166,175
11,8,3850,175
10,8,3563,170
8,8,3609,160
8,8,3353,140
9.5,8,3761,150
10,8,3086,225
15,4,2372,95
15.5,6,2833,95
15.5,6,2774,97
16,6,2587,85
14.5,4,2130,88
20.5,4,1835,46
17.5,4,2672,87
14.5,4,2430,90
17.5,4,2375,95
12.5,4,2234,113
15,6,2648,90
14,8,4615,215
15,8,4376,200
13.5,8,4382,210
18.5,8,4732,193
15.5,4,2464,86
16.9,4,2220,81
14.9,4,2572,92
17.7,4,2255,79
15.3,4,2202,83
13,8,4215,140
13,8,4190,150
13.9,8,3962,120
12.8,8,4215,152
15.4,6,3233,100
14.5,6,3353,105
17.6,6,3012,81
17.6,6,3085,90
22.2,4,2035,52
22.1,4,2164,60
14.2,4,1937,70
17.4,4,1795,53
17.7,6,3651,100
21,6,3574,78
16.2,6,3645,110
17.8,6,3193,95
12.2,4,1825,71
17,4,1990,70
16.4,4,2155,75
13.6,4,2565,72
15.7,4,3150,102
13.2,8,3940,150
21.9,4,3270,88
15.5,6,2930,108
16.7,6,3820,120
12.1,8,4380,180
12,8,4055,145
15,8,3870,130
14,8,3755,150
19.6,4,2605,88
18.6,4,2640,88
18,4,2395,88
16.2,4,2575,85
16,4,2525,84
18,4,2735,90
16.4,4,2865,92
20.5,4,3035,NA
15.3,4,1980,74
18.2,4,2025,68
17.6,4,1970,68
14.7,4,2125,63
17.3,4,2125,70
14.5,4,2160,88
14.5,4,2205,75
16.9,4,2245,70
15,4,1965,67
15.7,4,1965,67
16.2,4,1995,67
16.4,6,2945,110
17,6,3015,85
14.5,4,2585,92
14.7,6,2835,112
13.9,4,2665,96
13,4,2370,84
17.3,4,2950,90
15.6,4,2790,86
24.6,4,2130,52
11.6,4,2295,84
18.6,4,2625,79
19.4,4,2720,82
