ID,gender,Team,Background,Pro level,Winter Training Camp,altitude_results,vo2_results,hr_results,dob,Continent
0,female,group D,Sprinter,Continental,completed,44,56,55,1988-01-09,North America
1,male,group D,None,World Tour,none,75,68,69,1998-07-22,Africa
2,male,group E,Cobblestones,World Tour,none,78,60,60,1995-03-19,Africa
3,female,group E,Mountain,Continental,none,56,67,68,2003-04-27,Australia
4,female,group C,None,Continental,completed,59,77,80,1991-05-30,South America
5,female,group E,Cobblestones,Continental,none,40,39,41,2000-09-01,North America
6,female,group E,Time Trial,World Tour,none,79,77,75,1994-12-22,Africa
7,male,group E,Cobblestones,World Tour,completed,72,60,58,1992-09-24,Asia
8,female,group B,Cobblestones,World Tour,none,59,79,70,2004-08-08,Europe
9,male,group C,Sprinter,Continental,completed,51,51,51,2003-05-23,Africa
10,male,group C,Cobblestones,Continental,none,65,58,54,1989-07-28,Africa
11,male,group C,Sprinter,Continental,none,82,77,70,1987-08-18,Africa
12,female,group C,None,World Tour,none,60,72,67,1992-09-12,Asia
13,male,group B,Hill,World Tour,completed,57,60,65,1986-08-30,Asia
14,male,group B,None,World Tour,none,78,73,73,1995-01-11,South America
15,female,group D,Mountain,World Tour,completed,80,78,91,1995-06-24,Australia
16,male,group A,Hill,World Tour,none,60,52,58,1998-09-04,Australia
17,female,group C,None,World Tour,completed,70,75,81,2005-10-23,Africa
18,female,group D,None,World Tour,completed,78,86,92,1991-02-15,Australia
19,male,group B,Cobblestones,World Tour,completed,52,39,40,1998-06-01,Asia
20,male,group C,None,Continental,none,68,63,60,2000-01-16,Australia
21,female,group B,Time Trial,World Tour,none,71,79,79,1997-09-19,Europe
22,female,group C,Sprinter,Continental,completed,80,82,85,1994-06-26,Europe
23,male,group E,Hill,World Tour,none,67,52,49,1992-03-11,Asia
24,male,group D,None,World Tour,none,72,73,68,1986-01-24,Asia
25,female,group E,Hill,World Tour,none,87,100,93,2000-03-23,Europe
26,female,group D,None,Continental,none,42,61,56,1990-09-02,Africa
27,female,group A,None,Continental,completed,72,81,84,2003-01-14,Europe
28,female,group A,Sprinter,World Tour,none,91,92,87,2004-03-22,Australia
29,male,group B,Cobblestones,Continental,completed,65,59,52,1999-02-14,Europe
30,female,group C,Sprinter,World Tour,none,35,41,39,1992-08-15,Australia
31,female,group D,Cobblestones,World Tour,completed,84,92,94,2004-08-05,Europe
32,female,group E,Mountain,World Tour,none,100,100,100,2000-06-17,Europe
33,female,group B,Sprinter,World Tour,completed,68,76,73,1985-06-12,North America
34,male,group D,Time Trial,Continental,none,88,82,74,1993-09-08,South America
35,male,group C,Cobblestones,World Tour,none,60,61,51,2001-04-26,South America
36,female,group D,None,Continental,none,74,76,79,1993-02-08,South America
37,female,group A,Hill,Continental,none,75,87,76,1992-10-16,Europe
38,female,group B,Time Trial,World Tour,completed,86,98,94,1998-11-11,Australia
39,male,group B,Hill,World Tour,completed,77,68,69,1993-02-13,South America
40,female,group E,Time Trial,World Tour,none,63,61,57,1991-09-03,Australia
41,female,group D,None,World Tour,none,79,96,89,1988-02-22,North America
42,male,group D,Mountain,World Tour,none,77,78,71,2004-03-17,Europe
43,female,group C,Hill,World Tour,completed,71,71,82,1992-07-06,Asia
44,female,group B,Cobblestones,Continental,none,48,54,52,1994-07-06,North America
45,male,group A,None,World Tour,completed,52,49,50,1985-11-06,Asia
46,female,group C,Hill,Continental,none,43,57,55,1991-05-10,Australia
47,female,group C,Mountain,Continental,none,66,69,72,2000-06-04,Asia
48,female,group D,None,Continental,completed,52,70,67,1996-11-17,Africa
49,female,group C,None,World Tour,none,54,76,72,1990-09-06,Asia
50,female,group D,Cobblestones,World Tour,none,40,39,44,2001-12-11,Africa
51,female,group C,Cobblestones,World Tour,completed,69,82,82,1991-10-01,South America
52,female,group B,Cobblestones,World Tour,none,49,56,49,2005-10-13,North America
53,male,group C,Time Trial,Continental,completed,51,50,41,1994-10-09,Asia
54,female,group B,None,World Tour,completed,86,100,100,2002-12-24,South America
55,male,group E,Sprinter,World Tour,none,74,74,65,1996-06-15,Asia
56,male,group B,Time Trial,Continental,none,31,24,19,1988-10-06,Asia
57,female,group E,Mountain,Continental,none,40,49,47,1987-10-06,Australia
58,female,group D,None,World Tour,none,81,86,88,1991-01-06,Asia
59,female,group D,Time Trial,Continental,completed,55,63,72,1996-03-23,Europe
