"date","Facebook","Amazon","Netflix","Google"
2013-01-02,28,257.309998,92.010003,723.25123
2013-01-03,27.77,258.480011,96.590001,723.671256
2013-01-04,28.76,259.149994,95.98,737.971262
2013-01-07,29.42,268.459991,99.200001,734.751286
2013-01-08,29.059999,266.380005,97.160001,733.301227
2013-01-09,30.59,266.350006,95.909999,738.121237
2013-01-10,31.299999,265.339996,98,741.481263
2013-01-11,31.719999,267.940002,101.290002,739.99126
2013-01-14,30.950001,272.730011,103.449998,723.25123
2013-01-15,30.1,271.899994,101.689998,724.931273
2013-01-16,29.85,268.929993,97.480001,715.191211
2013-01-17,30.139999,270.480011,97.7,711.321223
2013-01-18,29.66,272.119995,99.17,704.511235
2013-01-22,30.73,270.190002,97.810002,702.871197
2013-01-23,30.82,268.109985,103.26,741.501296
2013-01-24,31.08,273.459991,146.859997,754.211317
2013-01-25,31.540001,283.98999,169.559996,753.671274
2013-01-28,32.470001,276.040009,162.109999,750.731274
2013-01-29,30.790001,260.350006,169.119999,753.681322
2013-01-30,31.24,272.76001,167.700006,753.831296
2013-01-31,30.98,265.5,165.240004,755.691272
2013-02-01,29.73,265,164.799994,775.601349
2013-02-04,28.110001,259.980011,174.739994,759.021279
2013-02-05,28.639999,266.890015,174.389999,765.741331
2013-02-06,29.049999,262.220001,184.410002,770.171333
2013-02-07,28.65,260.230011,181.959999,773.951324
2013-02-08,28.549999,261.950012,180.970003,785.371369
2013-02-11,28.26,257.209991,177.889999,782.421322
2013-02-12,27.370001,258.700012,177.950001,780.701335
2013-02-13,27.91,269.470001,186.270004,782.861321
2013-02-14,28.5,269.23999,187.400003,787.82138
2013-02-15,28.32,265.089996,189.509998,792.891346
2013-02-19,28.93,269.75,196.449997,806.851398
2013-02-20,28.459999,266.410004,187.119997,792.461334
2013-02-21,27.280001,265.940002,187.149998,795.531336
2013-02-22,27.129999,265.420013,179.860004,799.711381
2013-02-25,27.27,259.869995,179.320005,790.771365
2013-02-26,27.389999,259.359985,184.089994,790.13134
2013-02-27,26.870001,263.25,184.32,799.781345
2013-02-28,27.25,264.269989,188.080006,801.201384
2013-03-01,27.780001,265.73999,189.369995,806.191401
2013-03-04,27.719999,273.109985,181.209995,821.501406
2013-03-05,27.52,275.589996,181.729994,838.601424
2013-03-06,27.450001,273.790009,182.939995,831.381396
2013-03-07,28.58,273.880005,181.560003,832.601408
2013-03-08,27.959999,274.190002,184.699995,831.521445
2013-03-11,28.139999,271.23999,180.450005,834.821433
2013-03-12,27.83,274.130005,182.110003,827.611391
2013-03-13,27.08,275.100006,192.359997,825.311416
2013-03-14,27.040001,265.73999,188.369999,821.541411
2013-03-15,26.65,261.820007,184.849998,814.301411
2013-03-18,26.49,257.890015,185.590002,807.791372
2013-03-19,26.549999,256.410004,181.369999,811.321406
2013-03-20,25.860001,257.279999,183.049997,814.71139
2013-03-21,25.74,253.389999,181.99,811.261367
2013-03-22,25.73,257.75,181.299997,810.311407
2013-03-25,25.129999,256.019989,180.789999,809.641362
2013-03-26,25.209999,260.309998,190.609997,812.421402
2013-03-27,26.09,265.299988,190.240002,802.661367
2013-03-28,25.58,266.48999,189.280006,794.191369
2013-04-01,25.530001,261.609985,182.429996,801.191398
2013-04-02,25.42,263.320007,176.689999,813.041394
2013-04-03,26.25,259.029999,169.74,806.201387
2013-04-04,27.07,259.079987,166.689997,795.071366
2013-04-05,27.389999,255.479996,164.660004,783.051362
2013-04-08,26.85,258.950012,163.059994,774.851354
2013-04-09,26.59,261.140015,169.360004,777.651304
2013-04-10,27.57,264.769989,166.069996,790.181331
2013-04-11,28.02,269.850006,173.009995,790.391345
2013-04-12,27.4,272.869995,173.199999,790.051329
2013-04-15,26.52,267.720001,176.499994,781.931333
2013-04-16,26.92,272.339996,175.850006,793.37135
2013-04-17,26.629999,267.399994,169.360004,782.561372
2013-04-18,25.690001,259.420013,163.819998,765.911339
2013-04-19,25.73,260.320007,163.370001,799.871342
2013-04-22,25.969999,263.549988,174.369999,800.111374
2013-04-23,25.98,268.899994,216.99,807.901403
2013-04-24,26.110001,268.779999,216.719994,813.451373
2013-04-25,26.139999,274.700012,213.750006,809.101381
2013-04-26,26.85,254.809998,215.549994,801.421383
2013-04-29,26.98,249.740005,215.009995,819.061382
2013-04-30,27.77,253.809998,216.070005,824.571408
2013-05-01,27.43,248.229996,212.91,820.431429
2013-05-02,28.969999,252.550003,214.489996,829.611416
2013-05-03,28.309999,258.049988,213.449999,845.721469
2013-05-06,27.57,255.720001,210.690002,861.551483
2013-05-07,26.889999,257.730011,206.249994,857.231449
2013-05-08,27.120001,258.679993,208.609995,873.631526
2013-05-09,27.040001,260.160004,216.41,871.481464
2013-05-10,26.68,263.630005,217.690002,880.2315
2013-05-13,26.82,264.51001,229.37999,877.531533
2013-05-14,27.07,268.329987,233.970001,887.101527
2013-05-15,26.6,266.559998,243.39999,915.89158
2013-05-16,26.129999,264.119995,237.029991,903.871576
2013-05-17,26.25,269.899994,238.999996,909.181575
2013-05-20,25.76,267.630005,239.549995,908.531564
2013-05-21,25.66,268.859985,237.089993,906.971536
2013-05-22,25.16,262.959991,228.559998,889.421534
2013-05-23,25.059999,261.799988,226.179996,882.79154
2013-05-24,24.309999,261.73999,228.740002,873.321468
2013-05-28,24.1,267.290009,214.190002,881.271518
2013-05-29,23.32,265.529999,215.340002,868.311479
2013-05-30,24.549999,266.829987,222.659996,870.761489
2013-05-31,24.35,269.200012,226.250011,871.221521
2013-06-03,23.85,266.880005,221.969994,867.63151
2013-06-04,23.52,265.700012,225.30999,859.101473
2013-06-05,22.9,267.170013,223.460001,859.701493
2013-06-06,22.969999,267.829987,217.740004,864.641457
2013-06-07,23.290001,276.869995,220.219994,879.731524
2013-06-10,24.33,281.070007,220.929996,890.22152
2013-06-11,24.030001,274.779999,214.459995,879.811535
2013-06-12,23.77,271.670013,207.639999,871.981501
2013-06-13,23.73,275.790009,215.390003,877.001476
2013-06-14,23.629999,273.98999,213.989998,875.041517
2013-06-17,24.02,278.059998,229.23,886.251549
2013-06-18,24.209999,281.76001,228.82999,900.621519
2013-06-19,24.309999,278.160004,232.30999,900.681558
2013-06-20,23.9,273.440002,223.520002,884.741513
2013-06-21,24.530001,273.359985,216.899998,880.931503
2013-06-24,23.940001,270.609985,215.599995,869.791496
2013-06-25,24.25,272.089996,212.9,866.201484
2013-06-26,24.16,277.570007,212.099995,873.651498
2013-06-27,24.66,277.549988,214.969994,877.071501
2013-06-28,24.879999,277.690002,211.089998,880.371488
2013-07-01,24.809999,282.100006,224.280006,887.88154
2013-07-02,24.41,283.730011,221.459995,882.311537
2013-07-03,24.52,284.029999,220.909996,886.431543
2013-07-05,24.370001,285.880005,225.099998,893.491549
2013-07-08,24.709999,290.589996,233.099995,905.091527
2013-07-09,25.48,291.529999,247.380001,905.241563
2013-07-10,25.799999,292.329987,243.82,905.991557
2013-07-11,25.809999,299.660004,244.169994,920.241572
2013-07-12,25.91,307.549988,257.259987,923.001578
2013-07-15,26.280001,306.570007,257.980003,924.691608
2013-07-16,26.32,306.869995,260.480007,919.611594
2013-07-17,26.65,308.690002,267.919991,918.551603
2013-07-18,26.18,304.109985,266.409996,910.681564
2013-07-19,25.879999,305.230011,264.579994,896.601557
2013-07-22,26.049999,303.480011,261.959988,910.701536
2013-07-23,26.129999,301.059998,250.259987,903.801551
2013-07-24,26.51,298.940002,241.299995,902.901521
2013-07-25,34.360001,303.399994,246.740013,887.701547
